[INFO] [launch]: All log files can be found below /home/booster/.ros/log/2025-11-14-13-46-50-942936-robot-7802
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [game_controller_node-1]: process started with pid [7815]
[game_controller_node-1] [INFO] [1763099242.904364800] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=102
[game_controller_node-1] [INFO] [1763099243.417419424] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=103
[game_controller_node-1] [INFO] [1763099243.929024256] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=104
[game_controller_node-1] [INFO] [1763099245.364835200] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=107
[game_controller_node-1] [INFO] [1763099245.874080480] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=108
[game_controller_node-1] [INFO] [1763099246.899713280] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=110
[game_controller_node-1] [INFO] [1763099247.922034592] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=112
[game_controller_node-1] [INFO] [1763099249.367420320] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=115
[game_controller_node-1] [INFO] [1763099249.869407616] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=116
[game_controller_node-1] [INFO] [1763099250.380224288] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=117
[game_controller_node-1] [INFO] [1763099250.892204736] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=118
[game_controller_node-1] [INFO] [1763099251.405189696] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=119
[game_controller_node-1] [INFO] [1763099253.862954176] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=124
[game_controller_node-1] [INFO] [1763099254.373948864] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=125
[game_controller_node-1] [INFO] [1763099254.886153632] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=126
[game_controller_node-1] [INFO] [1763099255.397842560] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=127
[game_controller_node-1] [INFO] [1763099255.912456608] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=128
[game_controller_node-1] [INFO] [1763099256.421546496] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=129
[game_controller_node-1] [INFO] [1763099256.933420736] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=130
[game_controller_node-1] [INFO] [1763099257.445223296] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=131
[game_controller_node-1] [INFO] [1763099257.957995232] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=132
[game_controller_node-1] [INFO] [1763099258.370372896] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=133
[game_controller_node-1] [INFO] [1763099258.880623360] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=134
[game_controller_node-1] [INFO] [1763099259.393755040] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=135
[game_controller_node-1] [INFO] [1763099259.903261312] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=136
[game_controller_node-1] [INFO] [1763099260.422113088] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=137
[game_controller_node-1] [INFO] [1763099260.929750112] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=138
[game_controller_node-1] [INFO] [1763099261.950989472] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=140
[game_controller_node-1] [INFO] [1763099262.875768032] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=142
[game_controller_node-1] [INFO] [1763099263.386081280] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=143
[game_controller_node-1] [INFO] [1763099263.900817952] [game_controller]: handle packet successfully ip=192.168.1.2, packet_number=144
